ship_type,route_type,distance_nm,speed_knots,draft_m,cargo_weight_tonnes,weather_impact_index,fuel_consumption_tonnes,co2_emissions_tonnes
Ro-Ro Cargo,Intra-Asia,3785.69,16.25,9.7,46789.52,0.6,148098.27,461178.02
Bulk Carrier,Intra-Asia,996.34,15.82,7.89,25166.83,0.6,22211.64,69167.04
Oil Tanker,Asia-Europe,8497.23,12.01,16.34,223176.07,0.0,376043.07,1170998.13
Container Ship,Asia-Europe,7716.92,17.45,13.41,123489.84,0.2,497999.86,1550771.56
Oil Tanker,Indian Ocean,10738.03,14.8,12.09,90440.34,0.0,395142.45,1230473.58
General Cargo,Trans-Pacific,5832.53,10.75,6.59,14657.15,0.0,43393.43,135127.15
Ro-Ro Cargo,Asia-Europe,11841.42,19.85,7.12,18487.51,0.2,334258.85,1040882.06
Container Ship,North Atlantic,8374.41,21.77,11.46,77143.31,0.0,579343.43,1804075.45
General Cargo,Trans-Pacific,7183.37,11.67,8.42,30572.76,0.6,121199.73,377415.97
Bulk Carrier,Trans-Pacific,5229.43,10.99,11.45,76952.44,0.4,112487.38,350285.71
Container Ship,Asia-Europe,5019.38,20.99,11.85,85208.68,0.4,386661.24,1204063.1
General Cargo,Indian Ocean,2039.3,10.15,5.71,9524.28,0.0,10137.22,31567.29
Container Ship,Intra-Asia,11001.41,21.0,12.67,104121.55,0.2,917106.2,2855868.7
General Cargo,Asia-Europe,3272.48,11.51,8.0,26169.95,0.0,41069.34,127889.92
Oil Tanker,Trans-Pacific,10599.54,11.83,12.03,89144.21,0.4,276327.43,860483.6
Ro-Ro Cargo,North Atlantic,6228.9,14.13,7.83,24597.52,0.0,101759.04,316877.67
Oil Tanker,North Atlantic,11631.7,14.27,12.33,96017.67,0.0,413765.82,1288466.76
Container Ship,Trans-Pacific,5336.16,17.76,12.93,110794.71,0.4,350442.48,1091277.88
Oil Tanker,Trans-Pacific,667.26,11.55,11.42,76296.55,0.0,13338.06,41534.71
Bulk Carrier,Asia-Europe,10897.82,12.62,10.64,61655.43,0.0,238308.32,742092.11
Ro-Ro Cargo,Trans-Pacific,8522.88,17.14,7.93,25534.7,0.4,235190.9,732384.45
Container Ship,Intra-Asia,5780.06,15.1,12.46,99053.96,0.8,281885.03,877789.99
Bulk Carrier,Asia-Europe,3261.67,13.8,10.28,55560.15,0.0,79512.0,247600.37
Oil Tanker,North Atlantic,2591.62,13.56,10.59,60876.05,0.0,61505.42,191527.88
Oil Tanker,Intra-Asia,7422.26,14.89,13.96,139169.1,0.0,368522.3,1147578.45
General Cargo,Intra-Asia,865.75,11.39,6.83,16281.98,0.2,8218.11,25591.19
Container Ship,North Atlantic,1980.61,22.73,11.73,82718.98,0.0,156555.35,487513.36
Container Ship,North Atlantic,8409.52,17.77,9.99,51074.87,0.2,312380.71,972753.52
General Cargo,Indian Ocean,1471.95,13.47,5.4,8062.28,0.2,12235.67,38101.86
Bulk Carrier,North Atlantic,8785.93,13.19,12.37,96955.72,0.0,283487.67,882780.61
Oil Tanker,Intra-Asia,6384.29,14.58,15.22,180376.71,0.2,382886.98,1192310.06
Bulk Carrier,Intra-Asia,3288.41,13.2,10.94,66951.59,0.0,82996.13,258449.94
Ro-Ro Cargo,Indian Ocean,2931.65,15.93,6.88,16642.28,0.0,46907.92,146071.27
Container Ship,Intra-Asia,8309.68,19.12,14.21,146863.27,0.4,763435.16,2377337.08
Bulk Carrier,Asia-Europe,7248.67,13.22,8.58,32344.35,0.4,126671.18,394454.07
Ro-Ro Cargo,Trans-Pacific,4675.45,15.7,7.32,20082.57,0.2,87306.54,271872.56
Oil Tanker,Intra-Asia,7466.41,14.95,12.75,106068.12,0.0,311546.38,970155.43
Ro-Ro Cargo,Asia-Europe,9767.45,14.53,9.45,43226.16,0.0,245513.62,764529.4
Oil Tanker,Trans-Pacific,11797.35,12.64,14.02,141098.37,0.0,425961.09,1326442.85
Ro-Ro Cargo,North Atlantic,9896.33,19.19,9.72,47023.05,0.0,459262.62,1430143.78
Container Ship,Intra-Asia,5981.12,18.42,13.51,126214.87,0.4,460877.4,1435172.21
Bulk Carrier,Asia-Europe,6337.52,12.55,10.25,55073.21,0.0,127071.34,395700.16
Bulk Carrier,Intra-Asia,6320.2,10.52,12.4,97706.83,0.6,154028.89,479645.97
Oil Tanker,Trans-Pacific,5724.08,12.48,14.48,155527.68,0.2,227718.95,709116.82
Ro-Ro Cargo,Asia-Europe,1510.48,18.11,7.6,22455.37,0.0,38118.44,118700.83
Container Ship,Asia-Europe,7470.17,17.68,10.18,54003.53,0.4,301027.98,937401.12
General Cargo,Asia-Europe,1929.42,13.86,8.17,27934.87,0.4,41063.71,127872.4
Bulk Carrier,Intra-Asia,9022.89,10.4,9.32,41398.37,0.2,108806.36,338823.01
Oil Tanker,Intra-Asia,2382.04,11.81,15.68,197415.6,0.0,93845.71,292235.55
Oil Tanker,Asia-Europe,4626.55,13.09,14.93,170361.02,0.6,239726.63,746508.71
Bulk Carrier,Asia-Europe,4834.86,12.63,12.6,102393.55,0.0,148503.21,462439.0
Container Ship,North Atlantic,4914.75,22.79,10.98,67865.52,0.2,362932.66,1130172.3
Oil Tanker,Indian Ocean,8901.32,12.33,13.35,121757.85,0.2,293814.98,914939.84
General Cargo,Asia-Europe,7091.23,12.97,7.3,19890.17,0.8,116596.89,363082.73
Container Ship,Trans-Pacific,2145.97,21.34,13.46,124837.66,0.0,196760.22,612711.33
Bulk Carrier,Indian Ocean,1683.53,14.53,11.17,71422.22,0.2,56996.73,177487.8
General Cargo,Indian Ocean,9668.9,11.59,6.0,11059.73,0.0,69261.61,215680.65
Ro-Ro Cargo,Trans-Pacific,7382.09,14.07,9.26,40700.22,0.2,177321.78,552180.02
Oil Tanker,Trans-Pacific,11529.36,14.31,14.52,156598.11,0.0,571574.26,1779882.25
Oil Tanker,Indian Ocean,6317.72,13.34,10.77,63897.09,0.2,158898.44,494809.74
Oil Tanker,Trans-Pacific,8511.48,13.26,16.4,225880.6,0.6,546046.12,1700387.63
Container Ship,Asia-Europe,5377.5,19.28,12.87,109154.6,0.4,412076.42,1283205.97
Oil Tanker,Asia-Europe,11825.67,11.45,13.49,125774.59,0.4,363558.96,1132122.62
Container Ship,Asia-Europe,7299.67,18.23,14.13,144387.56,0.0,537798.05,1674703.12
General Cargo,Indian Ocean,553.27,13.21,6.79,16044.73,0.0,6600.43,20553.74
Container Ship,North Atlantic,5855.55,23.08,14.1,143622.18,0.0,689069.06,2145761.05
Container Ship,Asia-Europe,10996.62,12.39,12.92,110448.19,0.0,313359.8,975802.42
Ro-Ro Cargo,Trans-Pacific,4667.53,19.49,8.31,29405.61,0.2,173122.84,539104.53
Ro-Ro Cargo,Indian Ocean,11718.73,17.09,7.64,22805.79,0.0,266198.89,828943.34
Ro-Ro Cargo,North Atlantic,3945.35,15.11,8.65,33122.23,0.0,89798.28,279631.83
Oil Tanker,Intra-Asia,5884.67,12.4,15.71,198354.66,0.2,271828.5,846473.96
Oil Tanker,Indian Ocean,5712.82,14.1,9.63,45667.4,0.2,128261.51,399406.36
Container Ship,Intra-Asia,2285.26,18.72,11.98,88091.57,0.0,127706.98,397679.54
Oil Tanker,Indian Ocean,7905.99,12.08,12.89,109648.34,0.0,220431.34,686423.21
Bulk Carrier,North Atlantic,6844.81,12.45,12.79,107231.4,0.0,210443.15,655319.96
General Cargo,Indian Ocean,7048.6,11.36,7.58,22281.18,0.6,91269.77,284214.07
Bulk Carrier,Indian Ocean,7436.77,15.93,12.55,101310.24,0.4,403922.7,1257815.28
Ro-Ro Cargo,Trans-Pacific,3871.2,15.23,9.0,37378.72,0.6,114541.71,356682.89
Container Ship,Indian Ocean,2586.51,12.32,10.83,64946.35,0.2,54167.81,168678.56
Bulk Carrier,Trans-Pacific,4430.9,14.9,12.89,109696.48,0.0,198288.42,617470.13
Oil Tanker,Asia-Europe,7677.71,12.07,14.46,154781.35,0.0,268898.55,837350.1
Bulk Carrier,Asia-Europe,11707.29,11.32,12.77,106662.53,0.4,332034.09,1033954.15
Bulk Carrier,Trans-Pacific,5917.25,15.91,11.52,78314.56,0.0,241087.77,750747.33
Oil Tanker,Asia-Europe,8536.73,13.97,13.94,138591.19,0.0,371769.01,1157688.69
Oil Tanker,Intra-Asia,10856.58,11.53,13.27,119714.42,0.2,309733.76,964510.94
Oil Tanker,Trans-Pacific,9873.13,13.12,15.83,203097.45,0.0,489406.61,1524012.19
Container Ship,Intra-Asia,8782.33,17.97,12.01,88629.77,0.0,454272.17,1414603.53
Oil Tanker,Asia-Europe,7370.25,14.5,16.24,219203.88,0.2,497497.69,1549207.8
General Cargo,Trans-Pacific,5315.86,13.66,6.2,12208.91,0.0,56488.45,175905.02
Bulk Carrier,Trans-Pacific,1452.18,14.43,9.21,39963.2,0.2,32927.47,102536.15
General Cargo,North Atlantic,4590.24,11.15,6.97,17343.09,0.4,46051.31,143403.78
Bulk Carrier,Trans-Pacific,2052.51,15.72,10.66,62078.34,0.0,69946.71,217814.06
Ro-Ro Cargo,North Atlantic,10177.59,14.97,8.66,33274.97,0.4,255621.88,796006.53
General Cargo,Asia-Europe,5953.73,12.49,6.12,11712.13,0.0,51493.5,160350.75
Container Ship,North Atlantic,5500.51,20.26,12.48,99458.96,0.0,390593.04,1216306.74
Bulk Carrier,North Atlantic,3629.67,14.17,12.53,100743.92,0.2,146998.51,457753.37
General Cargo,Asia-Europe,2073.41,13.67,5.84,10197.97,0.8,24272.96,75586.01
Ro-Ro Cargo,Intra-Asia,8920.59,19.24,8.67,33340.83,0.4,370390.31,1153395.44
Container Ship,Trans-Pacific,8471.51,19.76,14.26,148403.66,0.0,747150.27,2326625.95
Bulk Carrier,Intra-Asia,6891.78,16.0,11.63,80473.32,0.0,288953.43,899800.98
Container Ship,Indian Ocean,5350.27,13.38,10.72,63111.88,0.4,137102.05,426935.78
Oil Tanker,North Atlantic,925.59,14.32,12.43,98372.9,0.2,35718.85,111228.49
Ro-Ro Cargo,Indian Ocean,8507.32,14.46,7.29,19858.14,0.0,126168.37,392888.29
Container Ship,Intra-Asia,8985.34,19.94,12.69,104608.18,0.2,677494.89,2109719.08
Bulk Carrier,North Atlantic,5812.34,12.51,12.83,108159.88,0.8,224915.66,700387.37
General Cargo,Indian Ocean,9686.01,13.76,7.39,20694.49,0.8,184071.83,573199.68
General Cargo,Indian Ocean,6018.57,11.61,8.02,26412.52,0.2,81912.35,255075.07
Container Ship,Asia-Europe,5345.61,17.01,13.72,132192.81,0.4,362384.62,1128465.7
Oil Tanker,Intra-Asia,10307.45,12.19,13.61,129200.64,0.4,365352.62,1137708.06
Container Ship,Asia-Europe,1018.66,22.92,11.27,73271.88,0.0,75534.87,235215.57
Ro-Ro Cargo,North Atlantic,9542.97,19.7,7.66,22984.12,0.0,289500.76,901505.37
General Cargo,Intra-Asia,1247.34,12.97,8.53,31740.44,0.0,22612.72,70415.99
General Cargo,Asia-Europe,1039.87,10.48,8.17,27935.42,0.0,11300.59,35190.03
Container Ship,Asia-Europe,9708.85,21.91,14.46,154872.43,0.2,1148583.37,3576688.63
Container Ship,Trans-Pacific,2499.8,23.94,14.35,151330.27,0.0,327823.95,1020843.78
Bulk Carrier,Intra-Asia,9882.08,10.92,12.11,90817.98,0.0,209431.87,652170.83
Container Ship,North Atlantic,1552.1,18.96,12.95,111152.79,0.6,122663.82,381975.13
Oil Tanker,Asia-Europe,11489.99,14.55,10.48,58939.1,0.6,362628.69,1129225.74
Container Ship,North Atlantic,5197.21,13.04,12.75,106102.88,0.0,159702.02,497312.09
General Cargo,Indian Ocean,11564.4,12.13,5.64,9170.81,0.0,80105.46,249448.39
General Cargo,North Atlantic,10653.42,10.25,8.53,31795.41,0.2,127840.56,398095.5
Bulk Carrier,Asia-Europe,6753.46,13.97,11.55,78846.62,0.6,251490.68,783141.99
Oil Tanker,Intra-Asia,2309.42,11.98,16.07,212577.45,0.0,98433.85,306523.01
Oil Tanker,Indian Ocean,1717.09,14.72,11.68,81647.53,0.2,61877.47,192686.43
General Cargo,Trans-Pacific,836.34,13.49,8.29,29140.9,0.4,17337.08,53987.66
Oil Tanker,Intra-Asia,512.88,14.63,11.58,79554.03,0.2,17954.45,55910.17
General Cargo,Asia-Europe,1467.13,10.77,6.52,14208.52,0.0,10731.31,33417.31
Container Ship,North Atlantic,604.33,16.52,10.17,53901.26,0.4,21241.04,66144.59
Bulk Carrier,Intra-Asia,5009.74,15.04,10.86,65495.12,0.0,161879.39,504092.41
General Cargo,Asia-Europe,9364.82,10.7,8.07,26931.37,0.6,122020.49,379971.82
Ro-Ro Cargo,North Atlantic,4477.66,17.49,7.08,18155.22,0.2,97016.59,302109.65
Bulk Carrier,North Atlantic,11642.1,15.84,12.81,107667.53,0.4,650978.51,2027147.08
Ro-Ro Cargo,North Atlantic,754.42,14.15,9.23,40264.42,0.0,17153.29,53415.35
Oil Tanker,Asia-Europe,3646.71,12.78,15.04,174125.44,0.8,192090.19,598168.85
Oil Tanker,Indian Ocean,9640.31,11.65,13.5,125888.5,0.2,290631.01,905024.95
Bulk Carrier,Indian Ocean,2010.35,11.38,12.42,98190.99,0.6,57483.62,179004.0
Ro-Ro Cargo,North Atlantic,10359.64,19.46,9.16,39400.64,0.8,544526.49,1695655.49
Container Ship,Trans-Pacific,4188.54,15.74,12.2,93075.85,0.4,192433.83,599238.94
General Cargo,Indian Ocean,8721.63,13.47,6.3,12808.62,0.2,98699.96,307351.67
Oil Tanker,North Atlantic,10489.17,11.74,16.58,233384.23,0.4,511837.95,1593863.37
Bulk Carrier,Indian Ocean,2009.32,13.76,12.38,97058.3,0.0,70605.29,219864.89
Bulk Carrier,Asia-Europe,6037.51,14.78,11.76,83198.43,0.0,220937.99,688000.9
Ro-Ro Cargo,Intra-Asia,3093.71,17.35,7.76,23921.28,0.0,74768.32,232828.56
General Cargo,Intra-Asia,11820.04,11.73,7.56,22166.33,0.0,137958.46,429602.65
Bulk Carrier,North Atlantic,11709.05,12.37,12.04,89323.84,0.4,352684.43,1098259.32
General Cargo,North Atlantic,10939.91,13.81,8.0,26169.42,0.4,221327.67,689214.37
Container Ship,Indian Ocean,2138.7,23.84,11.05,69045.4,0.0,164852.05,513349.29
Ro-Ro Cargo,Asia-Europe,11324.23,18.65,8.09,27072.53,0.0,343586.36,1069927.91
Container Ship,Trans-Pacific,9981.91,12.99,14.18,145904.02,0.0,376179.0,1171421.42
Bulk Carrier,Asia-Europe,2801.73,14.8,12.08,90188.64,0.0,108548.35,338019.57
Oil Tanker,Asia-Europe,7339.93,14.58,10.41,57837.75,0.2,206337.87,642536.12
Bulk Carrier,North Atlantic,7691.0,15.68,13.05,113779.37,0.4,437383.27,1362011.5
Oil Tanker,North Atlantic,9898.92,13.19,16.21,218121.86,0.0,520238.12,1620021.5
Container Ship,Indian Ocean,8835.51,17.26,10.52,59679.94,0.2,343489.91,1069627.58
General Cargo,Intra-Asia,4283.7,12.46,7.25,19502.69,0.0,51797.41,161297.14
General Cargo,Trans-Pacific,6229.25,12.63,8.07,26952.76,0.2,101812.01,317042.61
Oil Tanker,Trans-Pacific,11710.12,14.99,11.58,79518.59,0.2,429681.6,1338028.49
Oil Tanker,Indian Ocean,852.5,11.29,15.02,173487.47,0.0,28171.13,87724.89
Container Ship,Indian Ocean,9041.12,20.73,14.12,144192.7,0.0,860586.19,2679865.38
Ro-Ro Cargo,Asia-Europe,961.26,19.93,8.17,27873.24,0.6,40035.06,124669.17
Ro-Ro Cargo,Indian Ocean,7471.17,16.37,6.92,16940.62,0.2,135415.23,421683.03
Bulk Carrier,Trans-Pacific,4630.24,11.7,13.26,119244.8,0.0,135061.87,420582.67
General Cargo,Trans-Pacific,8731.99,10.53,7.94,25594.71,0.6,106535.4,331751.22
Ro-Ro Cargo,Asia-Europe,5249.86,17.08,8.17,27931.16,0.0,136266.43,424333.68
Ro-Ro Cargo,Asia-Europe,7163.27,17.56,8.27,28960.67,0.2,213455.62,664700.8
Oil Tanker,Asia-Europe,10366.84,12.6,12.37,96926.8,0.0,289326.22,900961.86
Ro-Ro Cargo,North Atlantic,5718.58,19.82,7.33,20187.96,0.0,161040.62,501480.49
Bulk Carrier,North Atlantic,2176.2,14.02,10.94,67082.65,0.0,62049.91,193223.43
Ro-Ro Cargo,Intra-Asia,2427.62,15.0,9.1,38616.87,0.0,60362.97,187970.28
General Cargo,Indian Ocean,8611.93,13.13,7.41,20804.29,0.0,120612.92,375588.62
Oil Tanker,Indian Ocean,1156.5,12.08,10.26,55279.28,0.2,21636.58,67376.31
Bulk Carrier,Intra-Asia,5700.29,10.73,8.16,27776.98,0.6,62471.65,194536.73
Container Ship,North Atlantic,2205.95,12.5,12.54,100868.18,0.8,74617.18,232357.89
Oil Tanker,North Atlantic,11690.62,12.29,8.86,35615.0,0.2,168972.09,526179.08
Bulk Carrier,Indian Ocean,1946.03,13.19,10.36,56894.73,0.0,44050.19,137172.3
Bulk Carrier,Intra-Asia,11653.99,14.04,9.46,43377.93,0.0,249339.39,776442.85
General Cargo,North Atlantic,8108.77,11.02,8.47,31120.32,0.8,129832.15,404297.32
Bulk Carrier,Asia-Europe,10055.09,11.46,7.95,25681.54,0.6,119340.33,371625.8
Ro-Ro Cargo,Intra-Asia,11064.79,18.77,7.26,19619.51,0.2,290761.61,905431.64
General Cargo,Asia-Europe,2331.81,11.39,7.53,21852.45,0.2,26949.83,83921.78
Container Ship,Asia-Europe,9497.43,22.45,12.02,88828.96,0.2,813932.26,2534585.06
Oil Tanker,Trans-Pacific,4260.88,12.62,16.13,214731.24,0.2,214907.5,669221.95
Bulk Carrier,Asia-Europe,10492.36,11.9,12.84,108277.55,0.0,296886.43,924504.34
General Cargo,Indian Ocean,5055.99,11.47,6.76,15790.06,0.2,47646.32,148370.65
General Cargo,Trans-Pacific,4792.4,10.95,7.16,18768.65,0.0,43604.68,135784.98
Oil Tanker,North Atlantic,7624.14,13.67,14.54,157517.31,0.0,346546.84,1079146.85
General Cargo,Trans-Pacific,6010.59,12.08,8.25,28720.01,0.0,88326.88,275049.92
Container Ship,North Atlantic,7171.98,16.79,11.87,85623.47,0.2,335329.97,1044217.53
Bulk Carrier,Intra-Asia,9957.52,13.13,12.19,92687.13,0.0,308949.97,962070.2
Ro-Ro Cargo,Intra-Asia,4870.86,17.93,9.69,46549.12,0.0,195903.93,610044.84
Oil Tanker,North Atlantic,3452.93,12.94,10.12,53095.53,0.0,68123.43,212136.37
General Cargo,Trans-Pacific,4080.04,12.16,8.11,27272.62,0.2,62220.25,193753.87
Bulk Carrier,Indian Ocean,1901.69,12.48,9.93,50171.9,0.0,35426.82,110319.11
Bulk Carrier,Intra-Asia,3895.7,11.11,12.53,100778.99,0.4,102482.52,319130.56
Bulk Carrier,Indian Ocean,1500.95,12.55,12.99,112104.24,0.4,54090.66,168438.33
General Cargo,Indian Ocean,7418.54,13.81,7.68,23195.63,0.4,138388.94,430943.16
Container Ship,Trans-Pacific,2509.89,19.76,13.82,135249.26,0.0,208064.56,647913.03
Container Ship,Indian Ocean,3660.27,21.37,11.01,68424.47,0.4,252294.88,785646.25
Bulk Carrier,Intra-Asia,2221.6,14.6,12.57,101714.88,0.0,90710.18,282471.5
Container Ship,Intra-Asia,2992.51,22.35,13.59,128424.85,0.0,306717.88,955119.47
Oil Tanker,Intra-Asia,3167.39,13.19,14.57,158275.56,0.0,134345.54,418352.02
Container Ship,North Atlantic,2069.06,23.85,12.48,99612.02,0.2,216088.63,672899.99
